num,address,city,type,size,sf_avail,rent
103,38-42 S B St,San Mateo,Office,"8,043 SF","2,200",$33.72 SF/Year
104,Old City Hall 215-227 S B St,San Mateo,Retail,"13,000 SF","387 - 2,519",$46.20 SF/Year
105,709-711 S B St,San Mateo,Retail,"5,005 SF","2,385 - 5,005",$30.00 SF/Year
106,Pinefino 100 Baden Ave,South San Francisco,Apartments,69 Units,"1,185",$36.00 SF/Year
107,999 Baker Way,San Mateo,R&D,"68,706 SF","100 - 30,288",$54.00 SF/Year
108,Imperial Bank Bldg 18-22 Battery St,San Francisco,Office,"62,260 SF","656 - 6,700",$36.00 SF/Year
109,98 Battery St,San Francisco,Office,"65,675 SF","2,246 - 5,020",$42.00 SF/Year
110,335-369 Beach Rd,Burlingame,R&D,"32,000 SF","561 - 2,471",$27.00 SF/Year
111,505 Beach St,San Francisco,Office,"21,202 SF","1,650 - 5,565",$32.00 - 40.00 SF/Year
112,500 Ben Franklin Ct,San Mateo,Office,"2,545 SF","2,545",$30.00 SF/Year
113,189 N Bernardo Ave,Mountain View,Office,"63,270 SF","9,000 - 40,635",$39.00 - 41.40 SF/Year
114,319 N Bernardo Ave,Mountain View,R&D,"51,440 SF","100 - 38,609",$28.68 - 192.00 SF/Year
115,200 Blossom Ln,Mountain View,Office,"8,620 SF","2,056 - 6,432",$35.40 - 71.40 SF/Year
116,1611 Borel Pl,San Mateo,Office,"10,000 SF",776,$43.80 SF/Year
117,1650 Borel Pl,San Mateo,Office,"25,700 SF","681 - 10,265",$43.80 SF/Year
118,Bovet Office Centre 155 Bovet Rd,San Mateo,Office,"131,606 SF","1,487 - 44,188",$47.40 SF/Year
119,300 Brannan St,San Francisco,Office,"67,792 SF","1,344 - 17,315",$35.00 - 47.00 SF/Year
120,425-427 Brannan St,San Francisco,Showroom,"19,500 SF","9,750",$75.00 SF/Year
121,790 Brannan St,San Francisco,Office,"3,700 SF","1,850",$39.00 SF/Year
122,840 Brannan St,San Francisco,Retail,"55,140 SF","397 - 6,000",$33.00 SF/Year
123,1000 Brannan St,San Francisco,Office,"90,000 SF","4,336 - 13,815",$24.00 - 30.00 SF/Year
124,Bldg B 370-390 Bridge Pky,Redwood City,Office,"31,620 SF","875 - 16,746",$35.40 - 42.00 SF/Year
125,100-120 Broadway,San Francisco,Office,"25,525 SF","4,900 - 25,525",$33.00 SF/Year
126,325-333 Broadway,San Francisco,Office,"16,600 SF","3,500 - 7,100",$24.00 - 40.00 SF/Year
127,483-493 Broadway,San Francisco,Retail,"5,996 SF","2,998",$48.00 SF/Year
128,678 Broadway,San Francisco,Retail,"5,698 SF","2,507",$36.00 SF/Year
129,1747-1749 Broadway St,Redwood City,Office,"10,962 SF","338 - 1,608",$30.72 - 45.00 SF/Year
130,1991 Broadway St,Redwood City,Office,"61,710 SF","2,912 - 10,250",$87.00 SF/Year
131,Fox Theatre 2209-2223 Broadway St,Redwood City,Retail,"39,662 SF","8,013",$60.00 SF/Year
132,487 Bryant St,San Francisco,Office,"10,767 SF","2,860 - 10,056",$24.00 - 36.00 SF/Year
133,514 Bryant St,San Francisco,Office,"6,100 SF","3,050 - 6,100",$38.00 SF/Year
134,617-629 Bryant St,San Francisco,Office,"36,000 SF","15,000 - 36,000",$80.00 SF/Year
135,715 Bryant st. 715 Bryant St,San Francisco,Warehouse,"10,000 SF","1,550 - 6,700",$26.00 - 32.00 SF/Year
136,772 Bryant St,San Francisco,Office,"6,000 SF","2,000 - 6,000",$36.00 SF/Year
137,855 Bryant St,San Francisco,Office,"6,596 SF","1,222",$35.35 SF/Year
138,2180-2182 Bryant St,San Francisco,Office,"18,739 SF","1,300 - 4,050",$50.76 - 60.48 SF/Year
139,Pacific Union Bldg 3727-3735 Buchanan St,San Francisco,Office,"24,200 SF","1,226 - 2,726",$51.00 SF/Year
140,333 Bush St,San Francisco,Office,"597,694 SF","54 - 150,488",$49.00 SF/Year
141,381 Bush St,San Francisco,Office,"13,500 SF","150 - 1,950",$29.00 - 48.00 SF/Year
142,2222 Bush St,San Francisco,Retail,"7,613 SF","2,378 - 4,792",$60.00 SF/Year
143,517 Byron St,Palo Alto,Office,"2,868 SF",732,$96.00 SF/Year
144,220 California Ave,Palo Alto,Office,"6,452 SF","1,085",$57.00 SF/Year
145,777 California Ave,Palo Alto,Office,"59,861 SF","11,192",$81.00 SF/Year
146,1145 California Dr,Burlingame,Retail,"11,500 SF","1,420 - 3,555",$36.00 SF/Year
147,350 California St,San Francisco,Office,"305,000 SF","100 - 215,454",$36.00 - 39.00 SF/Year
148,Insurance Exchange Bldg 433 California St,San Francisco,Office,"108,925 SF","1,711 - 71,321",$40.00 SF/Year
149,California Tower 550 California St,San Francisco,Office,"332,672 SF","586 - 39,765",$36.00 - 40.00 SF/Year
150,580 California Street 580 California St,San Francisco,Office,"357,700 SF","10 - 174,444",$55.00 SF/Year
151,720 California St,San Francisco,Office,"84,294 SF","12,042",$38.00 SF/Year
152,756 California St,Mountain View,Office,"2,480 SF",997,$78.00 SF/Year
153,1700 California 1700 California St,San Francisco,Apartments,47 Units,"2,250 - 46,356",$72.00 SF/Year
154,3838 California St,San Francisco,Office,"82,805 SF","480 - 10,652",$69.00 - 71.40 SF/Year
